Component List
--------------

"Report Written:","Wednesday, February 10, 2021"
"Project Path:","C:\projects\radio_interface\DesignSpark\radio_interface.prj"
"Design Path:","C:\projects\radio_interface\DesignSpark\radio_interface.pcb"
"Design Title:",
"Created:","1/28/2021 1:03:58 PM"
"Last Saved:","2/10/2021 9:54:25 AM"
"Editing Time:","19019 min"
"Units:","thou (precision 0)"

"Ref Name","Value","Manufacturer","Manufacturer Part Number","Digikey Number","Mouser Value"
--------------------------------------------------------------------------------------------
"C1","0.1u","","","478-10836-1-ND","581-08055C104KAT4A"
"C2","1n","","","732-7813-1-ND","187-CL21B102KBCNNNC"
"C3","1n","","","732-7813-1-ND","187-CL21B102KBCNNNC"
"C4","1u","","","1276-1066-1-ND","187-CL21B105KOFNNNG"
"C5","4.7u","","","1276-6464-1-ND","791-0805B475K6R3CT"
"C7","4.7u","","","1276-6464-1-ND","791-0805B475K6R3CT"
"C8","1n","","","732-7813-1-ND","187-CL21B102KBCNNNC"
"C9","4.7u","","","1276-6464-1-ND","791-0805B475K6R3CT"
"C11","4.7u","","","1276-6464-1-ND","791-0805B475K6R3CT"
"C12","1n","","","732-7813-1-ND","187-CL21B102KBCNNNC"
"C13","0.1u","","","478-10836-1-ND","581-08055C104KAT4A"
"C14","0.1u","","","478-10836-1-ND","581-08055C104KAT4A"
"C15","1u","","","1276-1066-1-ND","187-CL21B105KOFNNNG"
"C16","0.1u","","","478-10836-1-ND","581-08055C104KAT4A"
"C17","0.1u","","","478-10836-1-ND","581-08055C104KAT4A"
"C18","1u","","","1276-1066-1-ND","187-CL21B105KOFNNNG"
"C19","1u","","","1276-1066-1-ND","187-CL21B105KOFNNNG"
"C20","1u","","","1276-1066-1-ND","187-CL21B105KOFNNNG"
"C21","1u","","","1276-1066-1-ND","187-CL21B105KOFNNNG"
"C22","0.1u","","","478-10836-1-ND","581-08055C104KAT4A"
"C23","0.1u","","","478-10836-1-ND","581-08055C104KAT4A"
"C24","0.1u","","","478-10836-1-ND","581-08055C104KAT4A"
"C25","0.1u","","","478-10836-1-ND","581-08055C104KAT4A"
"C26","4.7u","","","1276-6464-1-ND","791-0805B475K6R3CT"
"C27","4.7n","","","732-8037-1-ND","710-885012207037"
"C28","10u","","","1276-1096-1-ND","187-CL21A106KQFNNNG"
"C29","0.1u","","","478-10836-1-ND","581-08055C104KAT4A"
"C30","0.1u","","","478-10836-1-ND","581-08055C104KAT4A"
"C31","12p","","","311-1100-1-ND","603-CC805JRNPO9BN120"
"C32","12p","","","311-1100-1-ND","603-CC805JRNPO9BN120"
"C33","12p","","","311-1100-1-ND","603-CC805JRNPO9BN120"
"C34","330p","","","399-1130-1-ND","80-C0805C331J5G"
"C35","1.8n","","","445-5752-1-ND","810-C2012C0G1H182J-1"
"C36","0.1u","","","478-10836-1-ND","581-08055C104KAT4A"
"C37","10u","","","1276-1096-1-ND","187-CL21A106KQFNNNG"
"C38","10u","","","1276-1096-1-ND","187-CL21A106KQFNNNG"
"C39","12p","","","311-1100-1-ND","603-CC805JRNPO9BN120"
"C40","10u","","","1276-1096-1-ND","187-CL21A106KQFNNNG"
"C41","10u","","","1276-1096-1-ND","187-CL21A106KQFNNNG"
"C43","0.1u","","","478-10836-1-ND","581-08055C104KAT4A"
"C44","0.1u","","","478-10836-1-ND","581-08055C104KAT4A"
"C45","10u","","","1276-1096-1-ND","187-CL21A106KQFNNNG"
"C47","47p","","","311-1107-1-ND","710-885012007014"
"C48","47p","","","311-1107-1-ND","710-885012007014"
"C49","0.1u","","","478-10836-1-ND","581-08055C104KAT4A"
"C50","0.1u","","","478-10836-1-ND","581-08055C104KAT4A"
"C51","47p","","","311-1107-1-ND","710-885012007014"
"C52","47p","","","311-1107-1-ND","710-885012007014"
"C53","0.1u","","","478-10836-1-ND","581-08055C104KAT4A"
"C54","0.1u","","","478-10836-1-ND","581-08055C104KAT4A"
"C55","0.1u","","","478-10836-1-ND","581-08055C104KAT4A"
"C56","10u","","","1276-1096-1-ND","187-CL21A106KQFNNNG"
"C57","0.1u","","","478-10836-1-ND","581-08055C104KAT4A"
"C58","4.7u","","","1276-6464-1-ND","791-0805B475K6R3CT"
"C60","1.8n","","","445-5752-1-ND","810-C2012C0G1H182J-1"
"C61","330p","","","399-1130-1-ND","80-C0805C331J5G"
"C62","10u","","","1276-1096-1-ND","187-CL21A106KQFNNNG"
"C63","0.1u","","","478-10836-1-ND","581-08055C104KAT4A"
"C64","10u","","","1276-1096-1-ND","187-CL21A106KQFNNNG"
"C65","10u","","","1276-1096-1-ND","187-CL21A106KQFNNNG"
"C66","10u","","","1276-1096-1-ND","187-CL21A106KQFNNNG"
"C67","10u","","","1276-1096-1-ND","187-CL21A106KQFNNNG"
"C68","4.7u","","","1276-6464-1-ND","791-0805B475K6R3CT"
"CONN2","","","A-DF 15 A/KG-T2S","AE10929-ND","649-ID15P33E4GV00LF"
"CONN3","","","NMJ6HCD3","","568-NMJ6HCD3"
"CONN4","","","","","538-22-23-2071"
"CONN5","","","UJ2-BH-2-TH","102-5884-ND","490-UJ2-BH-2-TH"
"D1","5.1V","","","","771-PDZ5.1BGWX"
"D2","","","","","750-CPDT-5V0U"
"D3","","","","","750-CPDT-5V0U"
"D4","","","","","750-CPDT-5V0U"
"D5","","","","","750-CPDT-5V0U"
"D6","","","","","750-CPDT-5V0U"
"D7","","","DESD5V0U1BA-7","","621-DESD5V0U1BA-7"
"D8","","","DESD5V0U1BA-7","","621-DESD5V0U1BA-7"
"D9","","","CM1213A-02SR","CM1213A-02SROSCT-ND","748-CM1213A-02SR"
"FB1","","","","490-1054-1-ND","81-BLM21P221SG"
"FB2","","","","490-1054-1-ND","81-BLM21P221SG"
"FB3","","","BK32164W241-T","","963-BK32164W241-T"
"L1","","","","","42TM018-RC"
"L2","","","","","42TM018-RC"
"R1","330","","","A106061CT-ND","754-RR1220P-331D"
"R2","604","","","311-604CRCT-ND","603-RC0805FR-07604RL"
"R3","","","3570-1331-053","1835-1117-ND",""
"R4","","","3570-1331-053","1835-1117-ND",""
"R5","100k","","","311-100KARCT-ND","667-ERJ-6ENF1003V"
"R6","4.7k","","","A106065CT-ND","71-CRCW08054K70FKEAC"
"R7","47k","","","A130144CT-ND","279-CRGCQ0805J47K"
"R8","","","3570-1331-053","1835-1117-ND",""
"R9","","","3570-1331-053","1835-1117-ND",""
"R10","","","","",""
"R11","2k","","3306F-1-202","","652-3306F-1-202"
"R12","4.7k","","","A106065CT-ND","71-CRCW08054K70FKEAC"
"R13","","","","",""
"R14","20","","","","667-ERJ-6ENF20R0V"
"R15","","","","",""
"R16","2k","","3306F-1-202","","652-3306F-1-202"
"R17","","","","",""
"R18","470","","","A129745CT-ND","279-CRGCQ0805F470R"
"R19","3.9k","","","A126369CT-ND","71-CRCW08053K90FKEA"
"R20","12k","","","A129762CT-ND","279-CRGCQ0805F12K"
"R21","27","","","2019-RK73H2ATTD27R0FCT-ND","660-RK73H2ATTD27R0F"
"R22","27","","","2019-RK73H2ATTD27R0FCT-ND","660-RK73H2ATTD27R0F"
"R23","27","","","2019-RK73H2ATTD27R0FCT-ND","660-RK73H2ATTD27R0F"
"R24","27","","","2019-RK73H2ATTD27R0FCT-ND","660-RK73H2ATTD27R0F"
"R25","12k","","","A129762CT-ND","279-CRGCQ0805F12K"
"R27","100","","","A129737CT-ND","279-CRGCQ0805F100R"
"R28","100k","","","311-100KARCT-ND","667-ERJ-6ENF1003V"
"R29","10k","","P091N-FC25BR10K","","858-P091N-FC25BR10K"
"R30","3.9k","","","A126369CT-ND","71-CRCW08053K90FKEA"
"R31","180","","","A126343CT-ND","667-ERJ-6ENF1800V"
"R32","2.2k","","","A106060CT-ND","754-RR1220P-222D"
"R33","2.2k","","","A106060CT-ND","754-RR1220P-222D"
"R34","2.2k","","","A106060CT-ND","754-RR1220P-222D"
"R35","2.2k","","","A106060CT-ND","754-RR1220P-222D"
"R36","2.2k","","","A106060CT-ND","754-RR1220P-222D"
"R37","270","","","A129742CT-ND","279-CRGCQ0805F270R"
"R38","100k","","","311-100KARCT-ND","667-ERJ-6ENF1003V"
"R39","180","","","A126343CT-ND","667-ERJ-6ENF1800V"
"R40","270","","","A129742CT-ND","279-CRGCQ0805F270R"
"R41","100k","","","311-100KARCT-ND","667-ERJ-6ENF1003V"
"R42","180","","","A126343CT-ND","667-ERJ-6ENF1800V"
"R43","270","","","A129742CT-ND","279-CRGCQ0805F270R"
"R44","47k","","","Y9473CT-ND","667-EXB-38V473JV"
"R45","180","","","A126343CT-ND","667-ERJ-6ENF1800V"
"R46","270","","","A129742CT-ND","279-CRGCQ0805F270R"
"R47","270","","","A129742CT-ND","279-CRGCQ0805F270R"
"R48","1k","","","Y9102CT-ND","667-EXB-38V102JV"
"R49","47k","","","A130144CT-ND","279-CRGCQ0805J47K"
"R50","4.7","","","","71-RCG08054R70JNEA"
"R51","1k","","","","667-EXB-38V102JV"
"R52","68","","","","667-ERJ-6ENF68R0V"
"R53","12k","","","A129762CT-ND","279-CRGCQ0805F12K"
"R54","12k","","","A129762CT-ND","279-CRGCQ0805F12K"
"R55","100","","","A129737CT-ND","279-CRGCQ0805F100R"
"SP1","","","AT-1224-TWT-5V-R","","665-AT1224TWT5VR"
"U1","","","MIC2009A-1YM6-TR","","998-MIC2009A-1YM6TR"
"U2","3.3V","","AP2114H-3.3TRG1","AP2114H-3.3TRG1DICT-ND","621-AP2114H-3.3TRG1"
"U3","3.3V","","AP2114H-3.3TRG1","AP2114H-3.3TRG1DICT-ND","621-AP2114H-3.3TRG1"
"U4","","","140816141310","732-140816141310-ND","710-140816141310"
"U5","","","","","771-MMBT3904T/R"
"U6","","","Y: LTL-553-11 R:","Y: 160-1978-ND, R: 160-1976-ND, G: 160-1977-ND","G: 859-LTL-533-11, R: 859-LTL-523-11, Y: 859-LTL-553-11"
"U7","","","140816141310","732-140816141310-ND","710-140816141310"
"U8","","","SI8621BC-B-IS","","634-SI8621BC-B-IS"
"U9","","","140816141310","732-140816141310-ND","710-140816141310"
